conm,conml,Year_Last,weburl,loc,tic
CASTLE (A M) & CO,Castle (A M) & Co,2021,www.castlemetals.com,USA,CTAM
CATERPILLAR INC,Caterpillar Inc,2021,www.caterpillar.com,USA,CAT
CATO CORP  -CL A,Cato Corp (The),2021,www.catofashions.com,USA,CATO
CAVCO INDUSTRIES INC,Cavco Industries Inc,2021,www.cavco.com,USA,CVCO
R F INDUSTRIES LTD,RF Industries Ltd,2021,www.rfindustries.com,USA,RFIL
CENTRAL NATURAL RES INC,Central Natural Resources Inc,2021,www.centralholdings.com,USA,CTNR
CLECO CORP,Cleco Corp,2021,www.cleco.com,USA,CNL
CENTRAL STEEL & WIRE CO,Central Steel & Wire Co,2021,www.centralsteel.com,USA,CSTW
LUMEN TECHNOLOGIES INC,Lumen Technologies Inc,2021,www.lumen.com,USA,LUMN
UNIFIED GROCERS INC,Unified Grocers Inc,2021,www.unifiedgrocers.com,USA,3089B
MAGELLAN HEALTH INC,Magellan Health Inc,2021,www.magellanhealth.com,USA,MGLN
CANTEL MEDICAL CORP,Cantel Medical Corp,2021,www.cantelmedical.com,USA,CMD
CHECKPOINT SYSTEMS INC,Checkpoint Systems Inc,2021,www.checkpointsystems.com,USA,CKP
CHEMED CORP,Chemed Corp,2021,www.chemed.com,USA,CHE
JPMORGAN CHASE & CO,JPMorgan Chase & Co,2021,www.jpmorganchase.com,USA,JPM
CHESAPEAKE UTILITIES CORP,Chesapeake Utilities Corp.,2021,www.chpk.com,USA,CPK
CELSION CORP,Celsion Corp,2021,celsion.com,USA,CLSN
CHEVRON CORP,Chevron Corp,2021,www.chevron.com,USA,CVX
CHICAGO RIVET & MACHINE CO,Chicago Rivet & Machine Co.,2021,www.chicagorivet.com,USA,CVR
BRINKER INTL INC,Brinker International Inc.,2021,brinker.com,USA,EAT
CHUBB CORP,Chubb Corp,2021,www.chubb.com,USA,CB.1
CHURCH & DWIGHT INC,Church & Dwight Co Inc,2021,churchdwight.com,USA,CHD
CHURCHILL DOWNS INC,Churchill Downs Inc,2021,www.churchilldownsincorporated.com,USA,CHDN
CINCINNATI BELL INC,Cincinnati Bell Inc,2021,www.cincinnatibell.com,USA,CBB
CINTAS CORP,Cintas Corp,2021,www.cintas.com,USA,CTAS
CLARCOR INC,CLARCOR Inc.,2021,www.clarcor.com,USA,CLC
IHEARTMEDIA INC,iHeartMedia Inc,2021,www.iheartmedia.com,USA,IHRT
CLEVELAND-CLIFFS INC,Cleveland-Cliffs Inc,2021,www.clevelandcliffs.com,USA,CLF
CLOROX CO/DE,Clorox Co (The),2021,www.thecloroxcompany.com,USA,CLX
COAST DISTRIBUTION SYSTEMS,Coast Distribution System Inc.,2021,www.coastdistribution.com,USA,CRV
FAMILY ROOM ENTMT CORP,Family Room Entertainment Corp,2021,www.fmlyroom.com,USA,FMYR
COCA COLA CONSOLIDATED INC,Coca Cola Consolidated Inc,2021,www.cokeconsolidated.com,USA,COKE
COCA-COLA CO,Coca-Cola Co (The),2021,www.coca-colacompany.com,USA,KO
COEUR MINING INC,Coeur Mining Inc,2021,www.coeur.com,USA,CDE
COHERENT INC,Coherent Inc,2021,www.coherent.com,USA,COHR
COHU INC,Cohu Inc,2021,www.cohu.com,USA,COHU
ONCOMED PHARMACEUTICALS,OncoMed Pharmaceuticals Inc,2021,www.oncomed.com,USA,OMED
COLGATE-PALMOLIVE CO,Colgate-Palmolive Co,2021,www.colgatepalmolive.com,USA,CL
CCOM GROUP INC,CCOM Group Inc,2021,www.ccom-group.com,USA,CCOM
COLORADO INTERSTATE GAS CO,Colorado Interstate Gas Co,2021,pipeportal.kindermorgan.com,USA,CGP1
CHASE CORP,Chase Corp,2021,chasecorp.com,USA,CCF
COMARCO INC,COMARCO Inc,2021,www.comarco.com,USA,CMRO
COMCAST CORP,Comcast Corp,2021,corporate.comcast.com,USA,CMCSA
COMERICA INC,Comerica Incorporated,2021,www.comerica.com,USA,CMA
COMMERCE BANCSHARES INC,Commerce Bancshares Inc,2021,www.commercebank.com,USA,CBSH
CITIGROUP INC,Citigroup Inc,2021,www.citigroup.com,USA,C
COMMERCIAL METALS,Commercial Metals Co,2021,www.cmc.com,USA,CMC
CTI GROUP HOLDINGS INC,CTI Group Holdings Inc,2021,www.ctigroup.com,USA,CTIG
COMMUNICATIONS SYSTEMS INC,Communications Systems Inc.,2021,www.commsystems.com,USA,JCS
AVIS BUDGET GROUP INC,Avis Budget Group Inc,2021,www.avisbudgetgroup.com,USA,CAR
COMPREHENSIVE CARE CORP,Comprehensive Care Corp,2021,www.advanzeon.com,USA,CHCR
CA INC,CA Inc,2021,www.ca.com,USA,CA
DXC TECHNOLOGY CO,DXC Technology Co,2021,www.dxc.technology,USA,DXC
COMPUTER TASK GROUP INC,Computer Task Group Inc,2021,www.ctg.com,USA,CTG
COMTECH TELECOMMUN,Comtech Telecommunications Corp.,2021,www.comtechtel.com,USA,CMTL
CONAGRA BRANDS INC,Conagra Brands Inc,2021,www.conagrabrands.com,USA,CAG
RAVE RESTAURANT GROUP INC,Rave Restaurant Group Inc,2021,www.raverg.com,USA,RAVE
SHUTTERSTOCK INC,Shutterstock Inc,2021,www.shutterstock.com,USA,SSTK
CONNECTICUT WATER SVC INC,Connecticut Water Service Inc,2021,www.ctwater.com,USA,CTWS
TRANSCONTINENTAL RLTY INVS,Transcontinental Realty Investors Inc.,2021,www.transconrealty-invest.com,USA,TCI
CONSOLIDATED EDISON INC,Consolidated Edison Inc.,2021,www.conedison.com,USA,ED
BIGLARI HOLDINGS INC,Biglari Holdings Inc,2021,www.biglariholdings.com,USA,BH
CTO REALTY GROWTH INC,CTO Realty Growth Inc,2021,ctorealtygrowth.com,USA,CTO
CMS ENERGY CORP,CMS Energy Corp,2021,www.cmsenergy.com,USA,CMS
CONTINENTAL MATERIALS CORP,Continental Materials Corp,2021,www.continental-materials.com,USA,CUO
CONTINENTAL RESOURCES INC,Continental Resources Inc,2021,www.clr.com,USA,CLR
COOPER TIRE & RUBBER CO,Cooper Tire & Rubber Co,2021,www.coopertire.com,USA,CTB
COOPER COS INC (THE),Cooper Cos Inc (The),2021,www.coopercos.com,USA,COO
MOLSON COORS BEVERAGE CO,Molson Coors Beverage Company,2021,www.molsoncoors.com,USA,TAP
CORNING INC,Corning Inc,2021,www.corning.com,USA,GLW
CORNING NATURAL GAS HLDG CP,Corning Natural Gas Holding Corp,2021,www.corninggas.com,USA,CNIG
TRUE VALUE CO,True Value Co,2021,www.truevaluecompany.com,USA,2289B
COUSINS PROPERTIES INC,Cousins Properties Incorporated,2021,www.cousins.com,USA,CUZ
CRACKER BARREL OLD CTRY STOR,Cracker Barrel Old Country Store Inc,2021,www.crackerbarrel.com,USA,CBRL
CRANE CO,Crane Co.,2021,www.craneco.com,USA,CR
CRAWFORD & CO,Crawford & Co,2021,www.crawco.com,USA,CRD.A
SPRINGLEAF FINANCE CORP,Springleaf Finance Corp,2021,www.onemainfinancial.com,USA,AGC1
ONEMAIN HOLDINGS INC,OneMain Holdings Inc,2021,www.onemainfinancial.com,USA,OMF
CHEMTURA CORP,Chemtura Corp,2021,www.chemtura.com,USA,CHMT.
CROWN HOLDINGS INC,Crown Holdings Inc,2021,www.crowncork.com,USA,CCK
CROWN CRAFTS INC,Crown Crafts Inc,2021,www.crowncrafts.com,USA,CRWS
CUBIC CORP,Cubic Corp,2021,www.cubic.com,USA,CUB
CULLEN/FROST BANKERS INC,Cullen/Frost Bankers Inc,2021,www.frostbank.com,USA,CFR
CULP INC,Culp Inc.,2021,www.culp.com,USA,CULP
CUMMINS INC,Cummins Inc.,2021,www.cummins.com,USA,CMI
CURTISS-WRIGHT CORP,Curtiss-Wright Corp,2021,www.curtisswright.com,USA,CW
GT BIOPHARMA INC,GT Biopharma Inc,2021,www.gtbiopharma.com,USA,GTBP
WENDY'S CO,Wendy's Co,2021,www.wendys.com,USA,WEN
DANA INC,Dana Inc,2021,www.dana.com,USA,DAN
DANAHER CORP,Danaher Corp,2021,www.danaher.com,USA,DHR
DATA I/O CORP,Data I/O Corp,2021,www.dataio.com,USA,DAIO
DATARAM CORP - OLD,Dataram Corp - old,2021,www.dataram.com,USA,DRAM.1
DAVEY TREE EXPERT CO,Davey Tree Expert Co,2021,www.davey.com,USA,7183B
DAWSON GEOPHYSICAL CO,Dawson Geophysical Co,2021,www.dawson3d.com,USA,DWSN
TARGET CORP,Target Corp,2021,corporate.target.com,USA,TGT
DPL INC,DPL Inc.,2021,www.dplinc.com,USA,AES5
DEERE & CO,DEERE & COMPANY,2021,www.deere.com,USA,DE
DEERE (JOHN) CAPITAL CORP,Deere (John) Capital Corp,2021,www.deere.com,USA,DE1
DGT HOLDINGS CORP,DGT Holdings Corp,2021,www.dgtholdings.com,USA,DGTC
DVL INC,DVL Inc,2021,www.dvlninc.com,USA,DVLN
DELTA AIR LINES INC,Delta Air Lines Inc,2021,www.delta.com,USA,DAL
DELTA NATURAL GAS CO INC,Delta Natural Gas Co Inc,2021,www.deltagas.com,USA,DGAS
DELUXE CORP,Deluxe Corp,2021,www.deluxe.com,USA,DLX
DETREX CORP,Detrex Corp,2021,www.detrex.com,USA,DTRX
DTE ENERGY CO,DTE Energy Co,2021,newlook.dteenergy.com,USA,DTE
ADTALEM GLOBAL EDUCATION INC,Adtalem Global Education Inc,2021,www.adtalem.com,USA,ATGE
DEWEY ELECTRONICS CORP,Dewey Electronics Corp,2021,www.deweyelectronics.com,USA,DEWY
PYXUS INTERNATIONAL INC,Old Holdco Inc,2021,www.pyxus.com,USA,PYYX
DIEBOLD NIXDORF INC,Diebold Nixdorf Inc,2021,www.dieboldnixdorf.com,USA,DBD
NORTECH SYSTEMS INC,Nortech Systems Inc,2021,www.nortechsys.com,USA,NSYS
DILLARDS INC  -CL A,Dillard's Inc.,2021,www.dillards.com,USA,DDS
DIODES INC,Diodes Inc,2021,www.diodes.com,USA,DIOD
DISNEY (WALT) CO,Walt Disney Co (The),2021,www.thewaltdisneycompany.com,USA,DIS
DIXIE GROUP INC,Dixie Group Inc (The),2021,www.thedixiegroup.com,USA,DXYN
DOLLAR GENERAL CORP,Dollar General Corporation,2021,www.dollargeneral.com,USA,DG
DOMINION ENERGY INC,Dominion Energy Inc,2021,www.dominionenergy.com,USA,D
DONALDSON CO INC,Donaldson Co Inc.,2021,www.donaldson.com,USA,DCI
DONNELLEY (R R) & SONS CO,R.R. Donnelley & Sons Co,2021,www.rrd.com,USA,RRD
DORCHESTER MINERALS  -LP,Dorchester Minerals LP,2021,www.dmlp.net,USA,DMLP
ESCALERA RESOURCES CO,Escalera Resources Co,2021,www.escaleraresources.com,USA,ESCRQ
DOVER CORP,Dover Corp,2021,www.dovercorporation.com,USA,DOV
DUPONT DE NEMOURS INC,DuPont  De Nemours Inc,2021,www.dupont.com,USA,DD
OMNICOM GROUP INC,Omnicom Group Inc,2021,www.omnicomgroup.com,USA,OMC
ASCENA RETAIL GROUP INC,Ascena Retail Group Inc,2021,www.ascenaretail.com,USA,ASNAQ
DU PONT (E I) DE NEMOURS,E. I. du Pont de Nemours and Co,2021,www.corteva.com,USA,DD.2
DUCOMMUN INC,Ducommun Inc,2021,www.ducommun.com,USA,DCO
DUKE ENERGY CORP,Duke Energy Corp,2021,www.duke-energy.com,USA,DUK
DUN & BRADSTREET HOLDNGS INC,Dun & Bradstreet Corp (The),2021,www.dnb.com,USA,DNB
FLOWSERVE CORP,Flowserve Corp.,2021,www.flowserve.com,USA,FLS
DYCOM INDUSTRIES INC,Dycom Industries Inc.,2021,www.dycomind.com,USA,DY
DYNATRONICS CORP,Dynatronics Corp,2021,www.dynatronics.com,USA,DYNT
DYNASIL CORP OF AMERICA,Dynasil Corp Of America,2021,www.dynasil.com,USA,DYSL
PERKINELMER INC,PerkinElmer Inc.,2021,www.perkinelmer.com,USA,PKI
EASTERN CO,Eastern Co (The),2021,www.easterncompany.com,USA,EML
EASTGROUP PROPERTIES,EastGroup Properties Inc.,2021,www.eastgroup.net,USA,EGP
EASTMAN KODAK CO,Eastman Kodak Co,2021,www.kodak.com,USA,KODK
EATON VANCE CORP,Eaton Vance Corp.,2021,www.eatonvance.com,USA,EV
ECOLAB INC,Ecolab Inc.,2021,www.ecolab.com,USA,ECL
